Gene,Locus Tag,Protein
rplQ,STM14_4117,50S ribosomal protein L17
rpoA,STM14_4118,DNA-directed RNA polymerase subunit alpha
rpsD,STM14_4119,30S ribosomal protein S4
rpsK,STM14_4120,30S ribosomal protein S11
rpsM,STM14_4121,30S ribosomal protein S13
rpmJ_2,STM14_4122,50S ribosomal protein L36
secY,STM14_4123,preprotein translocase subunit SecY
rplO,STM14_4124,50S ribosomal protein L15
rpmD,STM14_4125,50S ribosomal protein L30
rpsE,STM14_4126,30S ribosomal protein S5
rplR,STM14_4127,50S ribosomal protein L18
rplF,STM14_4128,50S ribosomal protein L6
rpsH,STM14_4129,30S ribosomal protein S8
rpsN,STM14_4130,30S ribosomal subunit protein S14
rplE,STM14_4131,50S ribosomal protein L5
rplX,STM14_4132,50S ribosomal protein L24
rplN,STM14_4133,50S ribosomal protein L14
rpsQ,STM14_4134,30S ribosomal protein S17
rpmC,STM14_4135,50S ribosomal protein L29
rplP,STM14_4136,50S ribosomal protein L16
rpsC,STM14_4137,30S ribosomal protein S3
rplV,STM14_4138,50S ribosomal protein L22
rpsS,STM14_4139,30S ribosomal protein S19
rplB,STM14_4140,50S ribosomal protein L2
rplW,STM14_4141,50S ribosomal protein L23
rplD,STM14_4142,50S ribosomal protein L4
rplC,STM14_4143,50S ribosomal protein L3
rpsJ,STM14_4144,30S ribosomal protein S10
hopD,STM14_4145,leader peptidase HopD
bfr,STM14_4146,"bacterioferritin, iron storage and detoxification protein"
bfd,STM14_4147,bacterioferritin-associated ferredoxin
,STM14_4148,elongation factor Tu
tuf_1,STM14_4149,elongation factor Tu
fusA,STM14_4150,elongation factor G
rpsG,STM14_4151,30S ribosomal protein S7
rpsL,STM14_4152,30S ribosomal protein S12
yheL,STM14_4153,tRNA 2-thiouridine synthesizing protein B
yheM,STM14_4154,hypothetical protein
yheN,STM14_4155,hypothetical protein
yheO,STM14_4156,putative regulatory protein
fkpA,STM14_4157,FKBP-type peptidyl-prolyl cis-trans isomerase
slyX,STM14_4158,hypothetical protein
slyD,STM14_4159,FKBP-type peptidyl-prolyl cis-trans isomerase
yheV,STM14_4160,putative cytoplasmic protein
kefB,STM14_4161,glutathione-regulated potassium-efflux system protein KefB
yheR,STM14_4162,glutathione-regulated potassium-efflux system ancillary protein KefG
,STM14_4163,hypothetical protein
yheS,STM14_4164,putative ABC transporter ATP-binding protein
,STM14_4165,
,STM14_4166,hypothetical protein
,STM14_4167,hypothetical protein
yheT,STM14_4168,putative hydrolase
yheU,STM14_4169,hypothetical protein
prkB,STM14_4170,putative phosphoribulokinase
yhfA,STM14_4171,hypothetical protein
,STM14_4172,hypothetical protein
crp,STM14_4173,cAMP-regulatory protein
yhfK,STM14_4174,putative inner membrane protein
argD_2,STM14_4175,bifunctional N-succinyldiaminopimelate-aminotransferase/acetylornithine transaminase protein
pabA,STM14_4176,para-aminobenzoate synthase component II
fic,STM14_4177,cell filamentation protein Fic
yhfG,STM14_4178,hypothetical protein
ppiA,STM14_4179,peptidyl-prolyl cis-trans isomerase A (rotamase A)
,STM14_4180,hypothetical protein
yhfC,STM14_4181,hypothetical protein
,STM14_4182,conserved hypothetical protein
nirB,STM14_4183,nitrite reductase large subunit
nirD,STM14_4184,nitrite reductase small subunit
,STM14_4185,conserved hypothetical protein
nirC,STM14_4186,nitrite transporter NirC
cysG,STM14_4187,siroheme synthase
bigA,STM14_4188,putative surface-exposed virulence protein
tnpA_10,STM14_4189,transposase for IS200
,STM14_4190,hypothetical protein
yhfL,STM14_4191,putative outer membrane lipoprotein
,STM14_4192,hypothetical protein
trpS,STM14_4193,tryptophanyl-tRNA synthetase
gph,STM14_4194,phosphoglycolate phosphatase
rpe,STM14_4195,ribulose-phosphate 3-epimerase
dam,STM14_4196,DNA adenine methylase
damX,STM14_4197,hypothetical protein
aroB,STM14_4198,3-dehydroquinate synthase
aroK,STM14_4199,shikimate kinase I
hofQ,STM14_4200,outer membrane porin HofQ
yrfA,STM14_4201,putative inner membrane protein
yrfB,STM14_4202,putative inner membrane protein
yrfC,STM14_4203,putative inner membrane protein
yrfD,STM14_4204,putative periplasmic protein
mrcA,STM14_4205,peptidoglycan synthetase
nudE,STM14_4206,ADP-ribose diphosphatase NudE
,STM14_4207,hypothetical protein
yrfF,STM14_4208,putative inner membrane protein
yrfG,STM14_4209,putative hydrolase
yrfH,STM14_4210,ribosome-associated heat shock protein Hsp15
hslO,STM14_4211,Hsp33-like chaperonin
yhgE,STM14_4212,putative inner membrane protein
,STM14_4213,hypothetical protein
,STM14_4214,hypothetical protein
pckA,STM14_4215,phosphoenolpyruvate carboxykinase
envZ,STM14_4216,osmolarity sensor protein
ompR,STM14_4217,osmolarity response regulator
greB,STM14_4218,transcription elongation factor GreB
yhgF,STM14_4219,putative RNase R
,STM14_4220,hypothetical protein
feoA,STM14_4221,ferrous iron transport protein A
feoB,STM14_4222,ferrous iron transport protein B
yhgG,STM14_4223,putative cytoplasmic protein
,STM14_4224,hypothetical protein
,STM14_4225,putative cytoplasmic protein
bioH,STM14_4226,carboxylesterase BioH
yhgH,STM14_4227,gluconate periplasmic binding protein
yhgI,STM14_4228,putative DNA uptake protein
,STM14_4229,hypothetical protein
gntT,STM14_4230,high-affinity gluconate permease
malQ,STM14_4231,4-alpha-glucanotransferase
malP,STM14_4232,maltodextrin phosphorylase
,STM14_4233,hypothetical protein
malT,STM14_4234,transcriptional regulator MalT
,STM14_4235,putative cytoplasmic protein
,STM14_4236,putative DNA-damage-inducibile protein
rtcA,STM14_4237,RNA 3'-terminal-phosphate cyclase
rtcB,STM14_4238,putative cytoplasmic protein
,STM14_4239,putative ribonucleoprotein related-protein
,STM14_4240,hypothetical protein
rtcR,STM14_4241,sigma N
glpR,STM14_4242,DNA-binding transcriptional repressor GlpR
,STM14_4243,hypothetical protein
glpG,STM14_4244,intramembrane serine protease GlpG
glpE,STM14_4245,thiosulfate sulfurtransferase
glpD,STM14_4246,glycerol-3-phosphate dehydrogenase
,STM14_4247,hypothetical protein
,STM14_4248,putative periplasmic phosphate-binding protein
gldA_1,STM14_4249,glycerol dehydrogenase
,STM14_4250,
,STM14_4251,putative dihydroxyacid dehydratase
,STM14_4252,putative dihydrodipicolinate synthetase
,STM14_4253,putative transcriptional regulator
glgP,STM14_4254,glycogen phosphorylase
glgA,STM14_4255,glycogen synthase
glgC,STM14_4256,glucose-1-phosphate adenylyltransferase
glgX,STM14_4257,glycogen debranching enzyme
glgB,STM14_4258,glycogen branching enzyme
,STM14_4259,hypothetical protein
asd,STM14_4260,aspartate-semialdehyde dehydrogenase
,STM14_4261,hypothetical protein
,STM14_4263,putative inner membrane protein
gntU,STM14_4264,low affinity gluconate transporter
gntK,STM14_4265,gluconate kinase 1
gntR,STM14_4266,gluconate operon transcriptional repressor
yhhW,STM14_4267,putative cytoplasmic protein
yhhX,STM14_4268,putative dehydrogenase
,STM14_4269,hypothetical protein
,STM14_4270,hypothetical protein
yhhY,STM14_4271,putative acetyltransferase YhhY
,STM14_4272,putative transcriptional regulator
,STM14_4273,putative cytoplasmic protein
,STM14_4274,putative inner membrane protein
,STM14_4275,putative phosphotriesterase
ggt,STM14_4276,gamma-glutamyltranspeptidase periplasmic precursor
,STM14_4277,hypothetical protein
yhhA,STM14_4278,hypothetical protein
ugpQ,STM14_4279,cytoplasmic glycerophosphodiester phosphodiesterase
ugpC,STM14_4280,glycerol-3-phosphate transporter ATP-binding subunit
ugpE,STM14_4281,glycerol-3-phosphate transporter membrane protein
ugpA,STM14_4282,glycerol-3-phosphate transporter permease
ugpB,STM14_4283,glycerol-3-phosphate transporter periplasmic binding protein
,STM14_4284,death-on-curing protein
yhhV,STM14_4285,putative cytoplasmic protein
livF,STM14_4286,leucine/isoleucine/valine transporter ATP-binding subunit
livG,STM14_4287,leucine/isoleucine/valine transporter ATP-binding subunit
livM,STM14_4288,leucine/isoleucine/valine transporter permease subunit
livH,STM14_4289,branched-chain amino acid transporter permease subunit LivH
livK,STM14_4290,high-affinity branched-chain amino acid transporter
,STM14_4291,hypothetical protein
yhhK,STM14_4292,putative acetyltransferase
,STM14_4293,putative cytoplasmic protein
livJ,STM14_4294,high-affinity branched-chain amino acid transporter
rpoH,STM14_4295,RNA polymerase factor sigma-32
,STM14_4296,hypothetical protein
ftsX,STM14_4297,cell division protein FtsX
ftsE,STM14_4298,cell division protein FtsE
ftsY,STM14_4299,cell division protein FtsY
yhhF,STM14_4300,16S rRNA m(2)G966-methyltransferase
yhhL,STM14_4301,hypothetical protein
yhhM,STM14_4302,putative inner membrane protein
yhhN,STM14_4303,putative inner membrane protein
zntA,STM14_4304,zinc/cadmium/mercury/lead-transporting ATPase
tcp,STM14_4305,methyl-accepting transmembrane citrate/phenol chemoreceptor
yhhP,STM14_4306,cell developmental protein SirA
yhhQ,STM14_4307,hypothetical protein
,STM14_4308,hypothetical protein
yhhS,STM14_4309,hypothetical protein
yhhT,STM14_4310,putative permease
acpT,STM14_4311,holo-(acyl carrier protein) synthase 2
nikR,STM14_4312,nickel responsive regulator
yhhJ,STM14_4313,putative ABC transport protein
yhiH,STM14_4314,putative ABC-type multidrug transport system ATPase component
yhiI,STM14_4315,hypothetical protein
,STM14_4316,hypothetical protein
yhiN,STM14_4317,putative periplasmic protein
pitA,STM14_4318,low-affinity phosphate transporter
uspB,STM14_4319,universal stress protein UspB
uspA,STM14_4320,universal stress protein A
yhiP,STM14_4321,inner membrane transporter YhiP
yhiQ,STM14_4322,putative methyltransferase
prlC,STM14_4323,oligopeptidase A
,STM14_4324,putative phosphatase
,STM14_4325,hypothetical protein
yhiR,STM14_4326,putative cytoplasmic protein
gor,STM14_4327,glutathione reductase
,STM14_4328,putative L-asparaginase
,STM14_4329,anaerobic C4-dicarboxylate transporter
,STM14_4330,putative sugar kinase
,STM14_4331,putative phosphosugar isomerase
,STM14_4332,putative regulatory protein
,STM14_4333,hypothetical protein
treF,STM14_4334,trehalase
,STM14_4335,putative inner membrane protein
,STM14_4336,hypothetical protein
,STM14_4337,putative phage endolysin
yhjB,STM14_4338,putative transcriptional regulator
,STM14_4339,hypothetical protein
,STM14_4340,hypothetical protein
yhjC,STM14_4341,putative transcriptional regulator
yhjD,STM14_4342,putative tRNA-processing ribonuclease
,STM14_4343,hypothetical protein
yhjE,STM14_4344,putative transport protein
yhjG,STM14_4345,putative inner membrane protein
yhjH,STM14_4346,EAL domain-containing protein
,STM14_4347,hypothetical protein
kdgK,STM14_4348,ketodeoxygluconokinase
yhjJ,STM14_4349,putative Zn-dependent peptidase
,STM14_4350,hypothetical protein
dctA,STM14_4351,C4-dicarboxylate transporter DctA
,STM14_4352,hypothetical protein
yhjK,STM14_4353,putative phosphodiesterase
,STM14_4354,hypothetical protein
yhjL,STM14_4355,cellulose synthase subunit BcsC
,STM14_4356,"endo-1,4-D-glucanase"
yhjN,STM14_4357,cellulose synthase regulator protein
bcsA,STM14_4358,cellulose synthase catalytic subunit
yhjQ,STM14_4359,cell division protein
yhjR,STM14_4360,putative cytoplasmic protein
,STM14_4361,hypothetical protein
yhjS,STM14_4362,putative cytoplasmic protein
yhjT,STM14_4363,putative inner membrane protein
yhjU,STM14_4364,putative inner membrane protein
,STM14_4366,hypothetical protein
,STM14_4367,hypothetical protein
,STM14_4368,cystathionine gamma-synthase
yhjV,STM14_4369,putative transport protein
dppF,STM14_4370,dipeptide transporter ATP-binding subunit
dppD,STM14_4371,dipeptide transporter ATP-binding subunit
dppC,STM14_4372,dipeptide transporter
dppB,STM14_4373,dipeptide transporter permease DppB
,STM14_4374,hypothetical protein
dppA,STM14_4375,dipeptide transport protein
,STM14_4376,putative xanthine permease
,STM14_4377,hypothetical protein
,STM14_4378,hypothetical protein
,STM14_4379,conserved hypothetical protein
,STM14_4380,putative regulatory protein
yhjW,STM14_4382,phosphoethanolamine transferase
lpfE,STM14_4383,long polar fimbrial minor protein
lpfD,STM14_4384,
lpfC,STM14_4385,long polar fimbrial outer membrane usher protein
lpfB,STM14_4386,long polar fimbrial chaperone precursor
lpfA,STM14_4387,long polar fimbrial protein A precursor
,STM14_4388,hypothetical protein
yhjY,STM14_4389,putative lipase
tag,STM14_4390,3-methyl-adenine DNA glycosylase I
yiaC,STM14_4391,hypothetical protein
bisC,STM14_4392,biotin sulfoxide reductase
,STM14_4393,hypothetical protein
yiaD,STM14_4394,putative outer membrane lipoprotein
,STM14_4395,hypothetical protein
yiaE,STM14_4396,2-hydroxyacid dehydrogenase
yiaF,STM14_4397,putative outer membrane lipoprotein
yiaG,STM14_4398,putative transcriptional regulator
cspA,STM14_4399,major cold shock protein
,STM14_4400,hypothetical protein
,STM14_4401,putative acetyltransferase
,STM14_4402,putative cytoplasmic protein
,STM14_4403,hypothetical protein
,STM14_4404,putative acetyltransferase
,STM14_4405,
glyS,STM14_4406,glycyl-tRNA synthetase subunit beta
glyQ,STM14_4407,glycyl-tRNA synthetase subunit alpha
,STM14_4408,hypothetical protein
,STM14_4409,putative outer membrane lipoprotein
,STM14_4410,hypothetical protein
yiaH,STM14_4411,putative inner membrane protein
yiaB,STM14_4412,putative inner membrane protein
xylB,STM14_4413,xylulokinase
xylA,STM14_4414,xylose isomerase
,STM14_4415,hypothetical protein
,STM14_4416,hypothetical protein
xylR,STM14_4417,xylose operon regulatory protein
bax,STM14_4418,hypothetical protein
,STM14_4419,hypothetical protein
malS,STM14_4420,periplasmic alpha-amylase precursor
avtA,STM14_4421,valine--pyruvate transaminase
ysaA,STM14_4422,putative oxidoreductase
yiaJ,STM14_4423,transcriptional repressor
,STM14_4424,hypothetical protein
yiaK,STM14_4425,"2,3-diketo-L-gulonate reductase"
yiaL,STM14_4426,putative cytoplasmic protein
,STM14_4427,putative chemotaxis protein
yiaM,STM14_4428,"2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM"
yiaN,STM14_4429,hypothetical protein
yiaO,STM14_4430,putative periplasmic dicarboxylate-binding protein
lyxK,STM14_4431,L-xylulose kinase
sgbH,STM14_4432,3-keto-L-gulonate-6-phosphate decarboxylase
sgbU,STM14_4433,putative L-xylulose 5-phosphate 3-epimerase
sgbE,STM14_4434,L-ribulose-5-phosphate 4-epimerase
,STM14_4435,putative regulatory protein
,STM14_4436,putative cytoplasmic protein
,STM14_4437,conserved hypothetical protein
aldB,STM14_4438,aldehyde dehydrogenase B
,STM14_4439,putative transcriptional regulator
selB,STM14_4440,selenocysteinyl-tRNA-specific translation factor
selA,STM14_4441,selenocysteine synthase
yibF,STM14_4442,glutathione S-transferase
mtlA,STM14_4443,mannitol-specific enzyme IIABC component
mtlD,STM14_4444,mannitol-1-phosphate 5-dehydrogenase
mtlR,STM14_4445,mannitol repressor protein
,STM14_4446,putative cytoplasmic protein
yibL,STM14_4447,hypothetical protein
,STM14_4448,hypothetical protein
,STM14_4449,putative inner membrane lipoprotein
,STM14_4450,putative inner membrane protein
lldP,STM14_4451,L-lactate permease
lldR,STM14_4452,DNA-binding transcriptional repressor LldR
lldD,STM14_4453,L-lactate dehydrogenase
yibK,STM14_4454,putative tRNA/rRNA methyltransferase YibK
,STM14_4455,putative transcriptional regulator
,STM14_4456,hypothetical protein
,STM14_4457,putative mandelate racemase
,STM14_4458,putative permease
cysE,STM14_4459,serine acetyltransferase
gpsA,STM14_4460,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
secB,STM14_4461,preprotein translocase subunit SecB
grxC,STM14_4462,glutaredoxin 3
yibN,STM14_4463,putative rhodanese-like sulfurtransferase
pmgI,STM14_4464,phosphoglyceromutase
yibP,STM14_4465,hypothetical protein
yigQ,STM14_4466,putative periplasmic protein
yibD,STM14_4467,glycosyl transferase
,STM14_4468,putative inner membrane protein
tdh,STM14_4469,L-threonine 3-dehydrogenase
kbl,STM14_4470,2-amino-3-ketobutyrate coenzyme A ligase
rfaD,STM14_4471,ADP-L-glycero-D-mannoheptose-6-epimerase
rfaF,STM14_4472,ADP-heptose:LPS heptosyltransferase II
rfaC,STM14_4473,ADP-heptose:LPS heptosyl transferase I
rfaL,STM14_4474,O-antigen ligase
rfaK,STM14_4475,putative hexose transferase
rfaZ,STM14_4476,lipopolysaccharide core biosynthesis protein
rfaY,STM14_4477,lipopolysaccharide core biosynthesis protein
rfaJ,STM14_4478,lipopolysaccharide glucosyltransferase
rfaI,STM14_4479,"lipopolysaccharide-alpha-1, 3-D-galactosyltransferase"
rfaB,STM14_4480,"UDP-D-galactose:(glucosyl)lipopolysaccharide-1, 6-D-galactosyltransferase"
yibR,STM14_4481,putative inner membrane protein
rfaP,STM14_4482,lipopolysaccharide core biosynthetic protein
rfaG,STM14_4483,glucosyltransferase I
rfaQ,STM14_4484,lipopolysaccharide core biosynthesis protein
,STM14_4485,hypothetical protein
kdtA,STM14_4486,3-deoxy-D-manno-octulosonic-acid transferase
coaD,STM14_4487,phosphopantetheine adenylyltransferase
mutM,STM14_4488,formamidopyrimidine-DNA glycosylase
rpmG,STM14_4489,50S ribosomal protein L33
rpmB,STM14_4490,50S ribosomal protein L28
radC,STM14_4491,DNA repair protein RadC
dfp,STM14_4492,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase
dut,STM14_4493,deoxyuridine 5'-triphosphate nucleotidohydrolase
slmA,STM14_4494,nucleoid occlusion protein
pyrE,STM14_4495,orotate phosphoribosyltransferase
rph,STM14_4496,ribonuclease PH
,STM14_4497,hypothetical protein
yicC,STM14_4498,hypothetical protein
,STM14_4499,putative transcriptional regulator
,STM14_4500,putative Zn-dependent hydrolase
,STM14_4501,hypothetical protein
,STM14_4502,putative inner membrane protein
ligB,STM14_4503,NAD-dependent DNA ligase LigB
,STM14_4504,hypothetical protein
gmk,STM14_4505,guanylate kinase
rpoZ,STM14_4506,DNA-directed RNA polymerase subunit omega
spoT,STM14_4507,"bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase"
spoU,STM14_4508,tRNA guanosine-2'-O-methyltransferase
recG,STM14_4509,ATP-dependent DNA helicase RecG
,STM14_4510,putative cytoplasmic protein
gltS,STM14_4511,glutamate transport protein
,STM14_4512,hypothetical protein
yicE,STM14_4513,putative purine/xanthine transport protein
yicH,STM14_4514,putative inner membrane protein
yicI,STM14_4515,alpha-xylosidase YicI
yicJ,STM14_4516,putative transporter
,STM14_4518,hypothetical protein
,STM14_4519,putative cytoplasmic protein
,STM14_4520,hypothetical protein
,STM14_4521,hypothetical protein
sugR,STM14_4522,ATP binding protein
,STM14_4523,putative cytoplasmic protein
rhuM,STM14_4524,putative cytoplasmic protein
rmbA,STM14_4526,putative cytoplasmic protein
misL,STM14_4527,putative autotransporter
fidL,STM14_4528,putative inner membrane protein
marT,STM14_4529,putative transcriptional regulator
,STM14_4531,hypothetical protein
slsA,STM14_4532,putative inner membrane protein
,STM14_4533,hypothetical protein
cigR,STM14_4534,putative inner membrane protein
,STM14_4535,hypothetical protein
mgtB,STM14_4536,Mg2+ transporter
,STM14_4537,hypothetical protein
mgtC,STM14_4538,Mg2+ transport protein
,STM14_4539,hypothetical protein
,STM14_4540,hypothetical protein
yicL,STM14_4541,putative permease
,STM14_4542,putative cytoplasmic protein
,STM14_4543,putative cytoplasmic protein
,STM14_4544,putative selenocysteine synthase
,STM14_4545,putative phosphotransferase system enzyme II
,STM14_4546,putative phosphotransferase system enzyme IIC
,STM14_4547,putative phosphotransferase system enzyme IIB
,STM14_4548,putative phosphotransferase system enzyme IIA
,STM14_4549,hypothetical protein
,STM14_4550,putative transcriptional regulator
,STM14_4551,hypothetical protein
,STM14_4552,putative inner membrane protein
,STM14_4553,hypothetical protein
,STM14_4554,putative glycosyl hydrolase
nepI,STM14_4555,ribonucleoside transporter
,STM14_4556,putative cytoplasmic protein
,STM14_4557,putative DNA-binding protein
,STM14_4558,putative phosphotransferase system HPr protein
gatY_2,STM14_4559,"putative fructose-1,6-bisphosphate aldolase"
,STM14_4560,putative sugar kinase
,STM14_4561,putative PTS system galactitol-specific enzyme IIC component
,STM14_4562,putative periplasmic protein
,STM14_4563,phosphotransferase system mannitol/fructose-specific IIA component
,STM14_4564,putative regulatory protein
,STM14_4565,hypothetical protein
yicN,STM14_4566,putative inner membrane protein
,STM14_4567,hypothetical protein
uhpT,STM14_4568,sugar phosphate antiporter
uhpC,STM14_4569,regulatory protein UhpC
uhpB,STM14_4570,sensory histidine kinase UhpB
uhpA,STM14_4571,DNA-binding transcriptional activator UhpA
,STM14_4572,putative cytoplasmic protein
,STM14_4573,putative L-fucose permease
,STM14_4574,putative sugar kinase
,STM14_4575,putative regulatory protein
ilvN,STM14_4576,acetolactate synthase 1 regulatory subunit
ilvB,STM14_4577,acetolactate synthase catalytic subunit
,STM14_4578,hypothetical protein
ivbL,STM14_4579,ilvB operon leader peptide
,STM14_4580,hypothetical protein
,STM14_4581,hypothetical protein
,STM14_4582,hypothetical protein
,STM14_4585,integral membrane protein
emrD,STM14_4586,multidrug resistance protein D
,STM14_4587,putative periplasmic protein
dsdC,STM14_4588,DNA-binding transcriptional regulator DsdC
,STM14_4589,hypothetical protein
dsdX,STM14_4590,permease DsdX
dsdA,STM14_4591,D-serine dehydratase
yidF,STM14_4592,putative cytoplasmic protein
yidG,STM14_4593,putative inner membrane protein
yidH,STM14_4594,putative inner membrane protein
,STM14_4595,hypothetical protein
,STM14_4596,
yidE,STM14_4597,hypothetical protein
,STM14_4598,hypothetical protein
ibpB,STM14_4599,heat shock chaperone IbpB
ibpA,STM14_4600,heat shock protein IbpA
,STM14_4601,hypothetical protein
yidQ,STM14_4602,hypothetical protein
yidR,STM14_4603,putative cytoplasmic protein
ccmH_2,STM14_4604,putative heme lyase subunit
ccmG_2,STM14_4605,heme lyase disulfide oxidoreductase
ccmF_2,STM14_4606,cytochrome c-type biogenesis protein
ccmE_2,STM14_4607,cytochrome c-type biogenesis protein CcmE
ccmD_2,STM14_4608,heme exporter protein C
ccmC_2,STM14_4609,heme exporter protein
ccmB_2,STM14_4610,heme exporter protein
ccmA_2,STM14_4611,cytochrome c biogenesis protein CcmA
,STM14_4612,putative cytochrome c peroxidase
torD,STM14_4613,chaperone protein TorD
torA,STM14_4614,trimethylamine N-oxide reductase subunit
torC,STM14_4615,trimethylamine N-oxide reductase cytochrome c-like subunit
torR,STM14_4616,DNA-binding transcriptional regulator TorR
torT,STM14_4617,periplasmic sensory protein associated with the TorRS two-component regulatory system
torS,STM14_4618,hybrid sensory histidine kinase TorS
dgoT,STM14_4619,D-galactonate transport protein
dgoA,STM14_4620,2-oxo-3-deoxygalactonate 6-phosphate aldolase/galactonate dehydratase
dgoK,STM14_4622,2-oxo-3-deoxygalactonate kinase
dgoR,STM14_4623,galactonate operon transcriptional repressor
yidA,STM14_4624,sugar phosphatase
,STM14_4625,putative permease
,STM14_4626,putative mandelate racemase
,STM14_4627,putative transcriptional regulator
gyrB,STM14_4628,DNA gyrase subunit B
recF,STM14_4629,recombination protein F
,STM14_4630,hypothetical protein
dnaN,STM14_4631,DNA polymerase III subunit beta
dnaA,STM14_4632,chromosomal replication initiation protein
,STM14_4633,hypothetical protein
rpmH,STM14_4634,50S ribosomal protein L34
rnpA,STM14_4635,ribonuclease P
,STM14_4636,hypothetical protein
yidC,STM14_4637,putative inner membrane protein translocase component YidC
trmE,STM14_4638,tRNA modification GTPase TrmE
,STM14_4639,
,STM14_4640,putative inner membrane protein
,STM14_4641,putative reverse transcriptase
yidY,STM14_4642,multidrug efflux system protein MdtL
yidZ,STM14_4643,DNA-binding transcriptional regulator YidZ
yieE,STM14_4644,putative cytoplasmic protein
yieF,STM14_4645,putative oxidoreductase
yieG,STM14_4646,putative xanthine/uracil permease family protein
yieH,STM14_4647,6-phosphogluconate phosphatase
phoU,STM14_4648,transcriptional regulator PhoU
pstB,STM14_4649,phosphate transporter subunit
pstA,STM14_4650,phosphate transporter permease subunit
pstC,STM14_4651,phosphate transporter permease subunit
pstS,STM14_4652,phosphate transporter subunit
,STM14_4653,putative phosphotransferase system fructose-specific component IIB
aroE_3,STM14_4654,shikimate 5-dehydrogenase
,STM14_4655,putative dipeptide/oligopeptide/nickel ABC-type transport system periplasmic component
glmS,STM14_4656,D-fructose-6-phosphate amidotransferase
glmU,STM14_4657,bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
,STM14_4658,hypothetical protein
,STM14_4659,putative permease
atpC,STM14_4660,F0F1 ATP synthase subunit epsilon
atpD,STM14_4661,F0F1 ATP synthase subunit beta
atpG,STM14_4662,F0F1 ATP synthase subunit gamma
atpA,STM14_4663,F0F1 ATP synthase subunit alpha
atpH,STM14_4664,F0F1 ATP synthase subunit delta
atpF,STM14_4665,F0F1 ATP synthase subunit B
atpE,STM14_4666,F0F1 ATP synthase subunit C
atpB,STM14_4667,F0F1 ATP synthase subunit A
atpI,STM14_4668,F0F1 ATP synthase subunit I
,STM14_4669,hypothetical protein
gidB,STM14_4670,glucose-inhibited division protein B
gidA,STM14_4671,tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
mioC,STM14_4672,flavodoxin
asnC,STM14_4673,DNA-binding transcriptional regulator AsnC
asnA,STM14_4674,asparagine synthetase AsnA
yieM,STM14_4675,hypothetical protein
yieN,STM14_4676,regulatory ATPase RavA
trkD,STM14_4677,potassium transport protein Kup
rbsD,STM14_4678,D-ribose pyranase
rbsA,STM14_4679,D-ribose transporter ATP binding protein
rbsC,STM14_4680,ribose ABC transporter permease protein
rbsB,STM14_4681,D-ribose transporter subunit RbsB
rbsK,STM14_4682,ribokinase
rbsR,STM14_4683,transcriptional repressor RbsR
yieO,STM14_4684,putative tranport protein
yieP,STM14_4685,putative regulatory protein
yifA,STM14_4693,transcriptional regulator HdfR
yifE,STM14_4694,hypothetical protein
yifB,STM14_4695,putative ATP-dependent protease
,STM14_4696,hypothetical protein
ilvL,STM14_4697,ilvG operon leader peptide
ilvG,STM14_4698,acetolactate synthase 2 catalytic subunit
ilvM,STM14_4699,acetolactate synthase 2 regulatory subunit
ilvE,STM14_4700,branched-chain amino acid aminotransferase
ilvD,STM14_4701,dihydroxy-acid dehydratase
ilvA,STM14_4702,threonine dehydratase
,STM14_4703,putative cytoplasmic protein
,STM14_4704,putative cytoplasmic protein
ilvY,STM14_4705,DNA-binding transcriptional regulator IlvY
ilvC,STM14_4706,ketol-acid reductoisomerase
ppiC,STM14_4707,peptidyl-prolyl cis-trans isomerase C
,STM14_4708,cyclic nucleotide-binding domain protein
,STM14_4709,putative inner membrane protein
rep,STM14_4710,ATP-dependent DNA helicase Rep
gppA,STM14_4711,guanosine pentaphosphate phosphohydrolase
rhlB,STM14_4712,ATP-dependent RNA helicase RhlB
trxA,STM14_4713,thioredoxin
rhoL,STM14_4714,
rho,STM14_4715,transcription termination factor Rho
rfe,STM14_4716,undecaprenyl-phosphate N-acetylglucosaminyltransferase
wzzE,STM14_4717,lipopolysaccharide biosynthesis protein WzzE
wecB,STM14_4718,UDP-N-acetyl glucosamine-2-epimerase
wecC,STM14_4719,UDP-N-acetyl-D-mannosamine dehydrogenase
rffG,STM14_4720,"dTDP-glucose 4,6-dehydratase"
rffH,STM14_4721,glucose-1-phosphate thymidyl transferase
wecD,STM14_4722,TDP-fucosamine acetyltransferase
wecE,STM14_4723,TDP-4-oxo-6-deoxy-D-glucose transaminase
wzxE,STM14_4724,O-antigen translocase
,STM14_4725,4-alpha-L-fucosyltransferase
wecF,STM14_4726,putative entero common antigen polymerase
wecG,STM14_4727,putative UDP-N-acetyl-D-mannosaminuronic acid transferase
yifK,STM14_4728,putative transport protein YifK
,STM14_4733,hypothetical protein
hemY,STM14_4734,putative protoheme IX biogenesis protein
hemX,STM14_4735,putative uroporphyrinogen III C-methyltransferase
hemD,STM14_4736,uroporphyrinogen-III synthase
