Gene,Locus Tag,Protein
,STM3558,homology to death -on-curing protein of phage P1
yhhV,STM3559,putative cytoplasmic protein
livF,STM3560,high-affinity branched-chain amino acid transporter
livG,STM3561,high-affinity branched-chain amino acid transporter
livM,STM3562,high-affinity branched-chain amino acid transporter
livH,STM3563,high-affinity branched-chain amino acid transporter
livK,STM3564,high-affinity branched-chain amino acid transporter
yhhK,STM3565,putative acetyltransferase
,STM3566,putative cytoplasmic protein
livJ,STM3567,high-affinity branched-chain amino acid transporter
rpoH,STM3568,sigma H factor of RNA polymerase
ftsX,STM3569,putative integral membrane cell division protein
ftsE,STM3570,putative ATPase involved in cell division
ftsY,STM3571,GTPase domain of cell division membrane protein
yhhF,STM3572,putative methyltransferase
yhhL,STM3573,putative inner membrane protein
yhhM,STM3574,putative inner membrane protein
yhhN,STM3575,putative inner membrane protein
zntA,STM3576,P-type ATPase family
tcp,STM3577,methyl-accepting transmembrane citrate/phenol chemoreceptor
yhhP,STM3578,small ubiquitous protein required for normal growth
yhhQ,STM3579,putative integral membrane protein
,STM3580,putative inner membrane lipoprotein
yhhS,STM3581,putative MFS family transport protein
yhhT,STM3582,putative PerM family permease
acpT,STM3583,putative phosphopantetheinyl transferase
nikR,STM3584,nickel-responsive transcriptional regulator
yhhJ,STM3585,putative ABC superfamily transport protein
yhiH,STM3586,putative ABC-type multidrug transport system
yhiI,STM3587,putative membrane protein
yhiN,STM3588,putative periplasmic protein
pitA,STM3589,low-affinity phosphate transporter
uspB,STM3590,universal stress protein B
uspA,STM3591,universal stress protein A
yhiP,STM3592,putative POT family peptide transport protein
yhiQ,STM3593,putative SAM-dependent methyltransferase
prlC,STM3594,oligopeptidase A
,STM3595,putative phosphatase
yhiR,STM3596,putative cytoplasmic protein
gor,STM3597,glutathione oxidoreductase
,STM3598,putative L-asparaginase
,STM3599,putative inner membrane protein
,STM3600,putative sugar kinases
,STM3601,putative phosphosugar isomerase
,STM3602,putative gntR family regulatory protein
treF,STM3603,cytoplasmic trehalase
,STM3604,putative inner membrane protein
,STM3605,putative phage endolysin
yhjB,STM3606,putative transcriptional regulator
yhjC,STM3607,putative LysR family transcriptional regulator
yhjD,STM3608,putative tRNA-processing ribonuclease
yhjE,STM3609,putative MFS family transport protein
yhjG,STM3610,putative inner membrane protein
yhjH,STM3611,putative diguanylate cyclase/phosphodiesterase domain 3 containing protein
kdgK,STM3612,ketodeoxygluconokinase
yhjJ,STM3613,putative Zn-dependent peptidase
dctA,STM3614,DAACS family C4-dicarboxylic acids transport protein
yhjK,STM3615,putative diguanylate cyclase/phosphodiesterase
yhjL,STM3616,putative TPR-repeat-containing protein
bcsC,STM3617,"endo-1,4-D-glucanase"
yhjN,STM3618,putative cellulose synthase
yhjO,STM3619,glycosyltransferase
yhjQ,STM3620,putative ATPase involved in chromosome partitioning
yhjR,STM3621,putative cytoplasmic protein
yhjS,STM3622,putative cytoplasmic protein
yhjT,STM3623,putative inner membrane protein
yhjU,STM3624,putative inner membrane protein
,STM3624A,cystathionine gamma-synthase
yhjV,STM3625,putative HAAAP family transport protein
dppF,STM3626,dipeptide transport protein
dppD,STM3627,dipeptide transport protein
dppC,STM3628,dipeptide transport protein 2
dppB,STM3629,dipeptide transport protein 1
dppA,STM3630,dipeptide transport protein
,STM3631,putative xanthine permease
,STM3632,putative PQQ enzyme repeat protein
,STM3633,putative bacterial regulatory protein
yhjW,STM3635,putative membrane-associated metal-dependent hydrolase
lpfE,STM3636,long polar fimbrial minor protein
lpfD,STM3637,long polar fimbrial operon protein
lpfC,STM3638,long polar fimbrial outer membrane usher protein
lpfB,STM3639,long polar fimbrial chaperone
lpfA,STM3640,long polar fimbria
yhjY,STM3641,putative lipase
tag,STM3642,constitutive 3-methyl-adenine DNA glycosylase I
yiaC,STM3643,putative acetyltransferase
bisC,STM3644,biotin sulfoxide reductase
yiaD,STM3645,putative outer membrane lipoprotein
yiaE,STM3646,2-keto-D-gluconate reductase
yiaF,STM3647,putative outer membrane lipoprotein
yiaG,STM3648,putative transcriptional regulator
cspA,STM3649,major cold shock protein 7.4
,STM3650,putative periplasmic or exported protein
,STM3651,putative acetyltransferase
,STM3652,putative cytoplasmic protein
,STM3653,putative acetyltransferase
glyS,STM3655,"glycine tRNA synthetase, beta subunit"
glyQ,STM3656,"glycine tRNA synthetase, alpha subunit"
,STM3657,putative outer membrane lipoprotein
yiaH,STM3658,putative inner membrane protein
yiaB,STM3659,putative inner membrane protein
xylB,STM3660,xylulokinase
xylA,STM3661,D-xylose isomerase
xylR,STM3662,xylose operon regulatory protein
bax,STM3663,gene transcribed divergently from malS
malS,STM3664,alpha-amylase
avtA,STM3665,valine-pyruvate aminotransferase
ysaA,STM3666,putative oxidoreductase
yiaJ,STM3667,IclR family transcriptional repressor
yiaK,STM3668,putative malate dehydrogenase
yiaL,STM3669,putative cytoplasmic protein
,STM3670,"putative chemotaxis protein, resembles cheA"
yiaM,STM3671,putative transporter
yiaN,STM3672,"putative DedA family, membrane protein"
yiaO,STM3673,putative dicarboxylate-binding periplasmic protein
lyxK,STM3674,cryptic L-xylulose kinase
sgbH,STM3675,putative 3-hexulose-6-phosphate isomerase
sgbU,STM3676,putative 3-hexulose-6-phosphate isomerase
sgbE,STM3677,L-ribulose-5-phosphate 4-epimerase
,STM3678,putative bacterial regulatory helix-turn-helix protein
,STM3679,putative cytoplasmic protein
aldB,STM3680,aldehyde dehydrogenase B
,STM3681,putative transcriptional regulator
selB,STM3682,selenocysteinyl-tRNA-specific translation factor
selA,STM3683,selenocysteine synthase
yibF,STM3684,putative glutathione S-transferase
mtlA,STM3685,"PTS family, mannitol-specific enzyme IIABC components"
mtlD,STM3686,mannitol-1-phosphate dehydrogenase
mtlR,STM3687,repressor for mtl
,STM3688,putative cytoplasmic protein
yibL,STM3689,putative cytoplasmic protein
,STM3690,putative inner membrane lipoprotein
,STM3691,putative inner membrane protein
lldP,STM3692,LctP transporter
lldR,STM3693,putative transcriptional GntR family regulator for lct operon
lldD,STM3694,L-lactate dehydrogenase
yibK,STM3695,putative tRNA/rRNA methyltransferase
,STM3696,putative transcriptional regulator
,STM3697,putative mandelate racemase
,STM3698,putative permease
cysE,STM3699,serine acetyltransferase
gpsA,STM3700,glycerol-3-phosphate dehydrogenase (NAD+)
secB,STM3701,molecular chaperone in protein export
grxC,STM3702,glutaredoxin 3
yibN,STM3703,putative rhodanese-related sulfurtransferases
pmgI,STM3704,phosphoglyceromutase
yibP,STM3705,putative membrane protein
yigQ,STM3706,putative periplasmic protein
yibD,STM3707,putative glycosyltransferase
tdh,STM3708,threonine 3-dehydrogenase
kbl,STM3709,2-amino-3-ketobutyrate CoA ligase
rfaD,STM3710,ADP-L-glycero-D-mannoheptose-6-epimerase
rfaF,STM3711,ADP-heptose; LPS heptosyltransferase 1
rfaC,STM3712,heptosyl transferase I
rfaL,STM3713,O-antigen ligase
rfaK,STM3714,putative hexose transferase
rfaZ,STM3715,lipopolysaccharide core biosynthesis protein
rfaY,STM3716,lipopolysaccharide core biosynthesis protein
rfaJ,STM3717,UDP-D-glucose:(galactosyl)lipopolysaccharide glucosyltransferase
rfaI,STM3718,"UDP-D-galactose:(glucosyl)lipopolysaccharide-alpha-1,3-D-galactosyltransferase"
rfaB,STM3719,"UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase"
yibR,STM3720,putative inner membrane protein
rfaP,STM3721,lipopolysaccharide core biosynthesis protein
rfaG,STM3722,glucosyltransferase I
rfaQ,STM3723,lipopolysaccharide core biosynthesis protein
kdtA,STM3724,3-deoxy-D-manno-octulosonic-acid transferase
kdtB,STM3725,phosphopantetheine adenylyltransferase
mutM,STM3726,formamidopyrimidine DNA glycosylase
rpmG,STM3727,50S ribosomal subunit protein L33
rpmB,STM3728,50S ribosomal subunit protein L28
radC,STM3729,putative DNA repair protein
dfp,STM3730,flavoprotein
dut,STM3731,deoxyuridinetriphosphatase
ttk,STM3732,putative TetR/ArcR family transcriptional regulator
pyrE,STM3733,orotate phosphoribosyltransferase
rph,STM3734,RNase PH
yicC,STM3735,putative stress-induced protein
,STM3736,putative LysR family transcriptional regulator
,STM3737,putative Zn-dependent hydrolase
yigC,STM3738,putative inner membrane protein
yicF,STM3739,putative DNA ligase
gmk,STM3740,guanylate kinase
rpoZ,STM3741,"RNA polymerase, omega subunit"
spoT,STM3742,(p)ppGpp synthetase II
spoU,STM3743,putative tRNA/rRNA methyltransferase
recG,STM3744,DNA helicase
,STM3745,putative cytoplasmic protein
gltS,STM3746,GltS family glutamate transport protein
yicE,STM3747,putative NCS2 family purine/xanthine transport protein
yicH,STM3748,putative inner membrane protein
yicI,STM3749,putative alpha-xylosidase
yicJ,STM3750,putative GPH family transport protein
,STM3752,putative cytoplasmic protein
sugR,STM3753,ATP binding protein
,STM3754,putative cytoplasmic protein
rhuM,STM3755,putative cytoplasmic protein
rmbA,STM3756,putative cytoplasmic protein
misL,STM3757,putative autotransported protein
fidL,STM3758,putative inner membrane protein
marT,STM3759,putative transcriptional regulatory protein
,STM3760,putative cytoplasmic protein
slsA,STM3761,putative inner membrane protein
cigR,STM3762,putative inner membrane protein
mgtB,STM3763,Mg2+ transport protein
mgtC,STM3764,Mg2+ transport protein
yicL,STM3765,putative permease
,STM3766,putative cytoplasmic protein
,STM3767,putative cytoplasmic protein
,STM3768,putative selenocysteine synthase (L-seryl-tRNA(Ser) selenium transferase)
,STM3769,putative phosphotransferase system enzyme II
,STM3770,putative phosphotransferase system enzyme IIC
,STM3771,putative phosphotransferase system enzyme IIB
,STM3772,putative phosphotransferase system enzyme IIA
,STM3773,putative NtrC family transcriptional regulator
,STM3774,putative inner membrane protein
,STM3775,putative glycosyl hydrolase family
yicM,STM3776,putative MFS family tranport protein
,STM3777,putative cytoplasmic protein
,STM3778,putative helix-turn-helix protein
,STM3779,putative phosphotransferase system
,STM3780,putative fructose-bisphosphate aldolase class-II
,STM3781,putative sugar (pentulose and hexulose) kinase
,STM3782,putative PTS system galactitol-specific enzyme IIC component
,STM3783,putative periplasmic protein
,STM3784,putative phosphotransferase system mannitol/fructose-specific IIA domain containing protein
,STM3785,putative gntR family regulatory protein
yicN,STM3786,putative inner membrane protein
uhpT,STM3787,MFS family hexose phosphate transport protein
uhpC,STM3788,regulator of uhpT expression
uhpB,STM3789,sensory histidine kinase in two-component regulatory sytem with UhpA
uhpA,STM3790,response regulator (repressor) in two-component regulatory system wtih UhpB
,STM3791,putative cytoplasmic protein
,STM3792,putative L-fucose permease
,STM3793,putative sugar kinase
,STM3794,putative deoR family regulatory protein
ilvN,STM3795,"acetolactate synthase I, small subunit"
ilvB,STM3796,"acetolactate synthase I, large subunit"
ivbL,STM3797,ilvB operon leader peptide
ysdA,STM3797A,YsdA
ysdB,STM3796B,conserved protein in the LexA regulon
,STM3796A,integral membrane protein
emrD,STM3798,MFS family multidrug tranport protein
,STM3799,putative periplasmic protein
dsdC,STM3800,LysR family transcriptional activator
dsdX,STM3801,putative Gnt family transport protein
dsdA,STM3802,D-serine deaminase
yidF,STM3803,putative cytoplasmic protein
yidG,STM3804,putative inner membrane protein
yidH,STM3805,putative inner membrane protein
yidE,STM3807,putative transport protein
ibpB,STM3808,small heat shock protein
ibpA,STM3809,small heat shock protein
yidQ,STM3810,putative outer membrane lipoprotein
yidR,STM3811,putative cytoplasmic protein
ccmH,STM3812,putative heme lyase subunit
ccmG,STM3813,heme lyase disulfide oxidoreductase
ccmF,STM3814,cytochrome c-type biogenesis protein
ccmE,STM3815,periplasmic heme-dependent peroxidase
ccmD,STM3816,heme exporter protein C
ccmC,STM3817,ABC superfamily (membrane) heme exporter protein
ccmB,STM3818,heme exporter protein
ccmA,STM3819,heme exporter protein
,STM3820,putative cytochrome c peroxidase
torD,STM3821,cytoplasmic chaperone which interacts with TorA
torA,STM3822,trimethylamine N-oxide reductase subunit
torC,STM3823,trimethylamine N-oxide reductase
torR,STM3824,response regulator in multi-component regualtory system wtih TorS (sensory kinase) and TorT (periplasmic sensor)
torT,STM3825,periplasmic sensor in multi-comopnent regulatory system with TorS (sensory kinase) and TorR (regulator)
torS,STM3826,sensory kinase in multi-component regulatory system with TorR (regulator) and TorT (periplasmic sensor)
dgoT,STM3827,MFS family D-galactonate transport protein
dgoA,STM3828,galactonate dehydratase
dgoK,STM3829,2-oxo-3-deoxygalactonate kinase
dgoR,STM3830,galactonate operon transcriptional repressor
yidA,STM3831,putative hydrolase of the HAD superfamily
,STM3832,putative permease
,STM3833,putative mandelate racemase
,STM3834,putative LysR family transcriptional regulator
gyrB,STM3835,"DNA gyrase, subunit B"
recF,STM3836,gap repair protein
dnaN,STM3837,"DNA polymerase III, beta-subunit"
dnaA,STM3838,DNA replication initiator protein
rpmH,STM3839,50S ribosomal subunit protein L34
rnpA,STM3840,RNase P
,STM3841,putative inner membrane protein
yidC,STM3842,putative preprotein translocase subunit YidC
trmE,STM3843,GTPase for tRNA modification and thiophene and furan oxidation
,STM3845,putative inner membrane protein
,STM3846,putative reverse transcriptase
yidY,STM3847,putative MFS family tranport protein
yidZ,STM3848,putative LysR family transcriptional regulator
yieE,STM3849,putative cytoplasmic protein
yieF,STM3850,putative oxidoreductase
yieG,STM3851,putative xanthine/uracil permeases family
yieH,STM3852,putative phosphatase/phosphohexomutase
phoU,STM3853,regulatory gene for high affinity phosphate uptake
pstB,STM3854,high-affinity phosphate transporter
pstA,STM3855,high-affinity phosphate transporter
pstC,STM3856,high-affinity phosphate transporter
pstS,STM3857,high-affinity phosphate transporter
,STM3858,putative phosphotransferase system fructose-specific component IIB
,STM3859,putative shikimate
,STM3860,putative dipeptide/oligopeptide/nickel ABC-type transport systems
glmS,STM3861,L-glutamine:D-fructose-6-phosphate aminotransferase
glmU,STM3862,N-acetyl glucosamine-1-phosphate uridyltransferase
,STM3863,putative permease
atpC,STM3864,"membrane-bound ATP synthase, F1 sector, epsilon-subunit"
atpD,STM3865,"membrane-bound ATP synthase, F1 sector, beta-subunit"
atpG,STM3866,"membrane-bound ATP synthase, F1 sector, gamma-subunit"
atpA,STM3867,"membrane-bound ATP synthase, F1 sector, alpha-subunit"
atpH,STM3868,"membrane-bound ATP synthase, F1 sector, delta-subunit"
atpF,STM3869,"membrane-bound ATP synthase, F0 sector, subunit b"
atpE,STM3870,"membrane-bound ATP synthase, F0 sector, subunit c"
atpB,STM3871,"membrane-bound ATP synthase, F0 sector, subunit a"
atpI,STM3872,"membrane-bound ATP synthase subunit, F1-F0-type proton-ATPase"
gidB,STM3873,associated with glucose-inhibited division
gidA,STM3874,associated with glucose-inhibited division
mioC,STM3875,initiation of chromosome replication
asnC,STM3876,"transcriptional regulator for asnA, gidA"
asnA,STM3877,asparagine synthetase A
yieM,STM3878,putative inner membrane protein
yieN,STM3879,putative regulator protein
kup,STM3880,KUP family low affinity potassium transport system
rbsD,STM3881,D-ribose high-affinity transport system
rbsA,STM3882,D-ribose high-affinity transport protein
rbsC,STM3883,"D-ribose high-affinity transport protein (1st module, ATP-binding subunit)"
rbsB,STM3884,D-ribose transport protein
rbsK,STM3885,ribokinase
rbsR,STM3886,transcriptional repressor for rbs operon (GalR/LacI family)
yieO,STM3887,putative MFS family tranport protein
yieP,STM3888,putative gntR family regulatory protein
yifA,STM3897,putative LysR family transcriptional regulator
yifE,STM3898,putative LysR type transcriptional regulator with pssR
yifB,STM3899,"putative magnesium chelatase, subunit ChlI"
ilvL,STM3900,ilvGEDA operon leader peptide
ilvG,STM3901,"acetolactate synthase II, large subunit"
ilvM,STM3902,"acetolactate synthase II, small subunit"
ilvE,STM3903,branched-chain amino-acid aminotransferase
ilvD,STM3904,dihydroxyacid dehydratase
ilvA,STM3905,threonine deaminase
,STM3906,putative cytoplasmic protein
,STM3907,putative cytoplasmic protein
ilvY,STM3908,positive LysR family regulator for ilvC
ilvC,STM3909,ketol-acid reductoisomerase
ppiC,STM3910,peptidyl-prolyl cis-trans isomerase C
,STM3911,putative inner membrane protein
rep,STM3912,rep helicase
gppA,STM3913,guanosine pentaphosphatase
rhlB,STM3914,putative helicase
trxA,STM3915,thioredoxin 1
rho,STM3917,transcription termination factor Rho
rfe,STM3918,undecaprenyl-phosphate N-acetylglucosaminyltransferase
wzzE,STM3919,modulator of enterobacterial common antigen (ECA) polysaccharide chain length
wecB,STM3920,UDP-N-acetyl glucosamine-2-epimerase
wecC,STM3921,UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase
rffG,STM3922,"dTDP-glucose 4,6-dehydratase"
rffH,STM3923,glucose-1-phosphate thymidyl transferase
wecD,STM3924,lipopolysaccharide biosynthesis protein
wecE,STM3925,TDP-4-oxo-6-deoxy-D-glucose transaminase
wzxE,STM3926,O-antigen translocase in LPS biosynthesis
,STM3927,putative inner membrane protein
wecF,STM3928,TDP-Fuc4NAc:lipidII transferase
wecG,STM3929,putative UDP-N-acetyl-D-mannosaminuronic acid transferase
yifK,STM3930,putative APC family amino-acid transport protein
hemY,STM3935,protein for a late step of protoheme IX synthesis
hemX,STM3936,uroporphyrinogen III methylase
hemD,STM3937,uroporphyrinogen III synthase
hemC,STM3938,porphobilinogen deaminase
cyaA,STM3939,adenylate cyclase
,STM3940,putative inner membrane protein
,STM3941,putative inner membrane protein
,STM3942,putative cytoplasmic protein
cyaY,STM3943,putative frataxin family transport protein
,STM3944,putative inner membrane protein
yifL,STM3946,putative outer membrane lipoprotein
dapF,STM3947,diaminopimelate epimerase
yigA,STM3948,putative cytoplasmic protein
xerC,STM3949,putative site-specific integrase/recombinase
yigB,STM3950,putative hydrolase of the HAD superfamily
uvrD,STM3951,DNA-dependent ATPase I and helicase II
corA,STM3952,MIT family Mg2+/Ni2+/Co2+ transport protein
yigF,STM3953,putative inner membrane protein
yigG,STM3954,putative inner membrane protein
rarD,STM3955,chloramphenicol resistance
yigI,STM3956,putative PaaI protein
pldA,STM3957,outer membrane phospholipase A
recQ,STM3958,ATP-dependent DNA helicase
rhtC,STM3959,RhtB family threonine efflux protein
rthB,STM3960,homoserine/homoserine lactone efflux protein
pldB,STM3961,lysophospholipase L(2)
yigL,STM3962,putative hydrolase of the HAD superfamily
yigM,STM3963,putative transport protein
metR,STM3964,regulator for metE and metH
metE,STM3965,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase
,STM3966,putative arylsulfatase regulator
dlhH,STM3967,putative dienelactone hydrolase family
udp,STM3968,uridine phosphorylase
yigN,STM3969,putative inner membrane protein
ubiE,STM3970,S-adenosylmethionine
yigP,STM3971,putative inner membrane protein
aarF,STM3972,putative regulator in ubiquinone biosynthesis
tatA,STM3973,component of Sec-independent protein secretion pathway
tatB,STM3974,component of Sec-independent protein secretion pathway
tatC,STM3975,component of sec-independent protein export
yigW,STM3976,putative hydrolase of PHP superfamily
rfaH,STM3977,transcriptional activator
yigC,STM3978,putative oxidoreductase
ubiB,STM3979,FMN reductase
,STM3980,putative outer membrane protein
,STM3981,putative cytoplasmic protein
fadA,STM3982,3-ketoacyl-CoA thiolase
fadB,STM3983,3-hydroxyacyl-coA dehydrogenase of 4-enzyme FadB protein
pepQ,STM3984,proline dipeptidase
yigZ,STM3985,putative cytoplasmic protein
trkH,STM3986,Trk family potassium transport protein
hemG,STM3987,protoporphyrin oxidase
mobB,STM3993,molybdopterin-guanine dinucleotide biosynthesis protein B
mobA,STM3994,putative molybdopterin-guanine dinucleotide biosynthesis protein
yihD,STM3995,putative cytoplasmic protein
yihE,STM3996,putative homoserine kinase type II
dsbA,STM3997,periplasmic protein disulfide isomerase I
yihG,STM3998,putative endonuclease
polA,STM3999,DNA polymerase I
spf,STM4000,"spot 42 RNA, inhibition of DNA synthesis"
yihA,STM4001,putative GTPase involved in coordination of cell cycle
,STM4002,putative cytoplasmic protein
yihI,STM4003,putative cytoplasmic protein
hemN,STM4004,O2-independent coproporphyrinogen III oxidase
glnG,STM4005,EBP family response regulator in two-component regulatory system with GlnL
glnL,STM4006,"sensory kinase (phosphatase) in two-component regulatory system with GlnG (nitrogen regulator II, NRII)"
glnA,STM4007,glutamine synthetase
,STM4008,putative cytoplasmic protein
typA,STM4009,GTP-binding elongation factor family protein
,STM4010,putative hydrolase
,STM4011,putative inner membrane protein
,STM4012,putative coproporphyrinogen III oxidase and related FeS oxidoreductase
,STM4013,putative membrane-associated metal-dependent hydrolase
,STM4014,putative periplasmic protein
,STM4015,putative cytoplasmic protein
yshA,STM4016,putative outer membrane protein
yihO,STM4017,putative GPH family transport protein
yihP,STM4018,putative GPH family transport protein
yihQ,STM4019,putative alpha-xylosidase
yihR,STM4020,putative aldose-1-epimerase
yihS,STM4021,putative isomerase
yihT,STM4022,putative aldolase
yihU,STM4023,putative oxidoreductase
yihV,STM4024,putative sugar kinase
yihW,STM4025,putative glycerol-3-phosphate regulon repressor
yihX,STM4026,putative enzyme
rbn,STM4027,tRNA processing exoribonuclease BN
yihZ,STM4028,D-Tyr-tRNA(Tyr) deacylase
yiiD,STM4029,putative acetyltransferase
,STM4030,putative cytoplasmic protein
,STM4031,putative cytoplasmic protein
,STM4032,putative acetyl esterase
,STM4033,putative merR family bacterial regulatory protein
fdhE,STM4034,putative formate dehydrogenase formation protein
fdoI,STM4035,"formate dehydrogenase, cytochrome B556 (FDO) subunit"
fdoH,STM4036,"formate dehydrogenase-O, Fe-S subunit"
fdoG,STM4037,formate dehydrogenase
fdhD,STM4038,putative formate dehydrogenase formation protein
,STM4039,putative inner membrane lipoprotein
yiiG,STM4040,putative cytoplasmic protein
,STM4041,putative inner membrane protein
,STM4042,putative branched-chain amino acid permease
,STM4042A,hypothetical protein
yiiL,STM4043,putative cytoplasmic protein
,STM4044,putative iron-containing alcohol dehydrogenase
rhaD,STM4045,rhamnulose-1-phosphate aldolase
rhaA,STM4046,L-rhamnose isomerase
rhaB,STM4047,rhamnulokinase
rhaS,STM4048,positive regulator for rhaBAD operon
rhaR,STM4049,positive regulator for rhaRS operon
rhaT,STM4050,DMT Superfamily L-rhamnose:H+ symporter protein
,STM4051,putative outer membrane protein
,STM4052,putative C4-dicarboxylate transport system
,STM4053,putative C4-dicarboxylate transport system
,STM4054,putative dicarboxylate-binding periplasmic protein
sodA,STM4055,superoxide dismutase
yiiM,STM4056,putative cytoplasmic protein
,STM4057,putative inner membrane protein
cpxA,STM4058,sensory kinase in two-component regulatory system with CpxR
cpxR,STM4059,response reguator in two-component regulatory system with CpxA
cpxP,STM4060,periplasmic repressor of cpx regulon by interaction with CpxA
yiiP,STM4061,putative CDF family transport protein
pfkA,STM4062,6-phosphofructokinase I
sbp,STM4063,sulfate transport protein
ushB,STM4064,CDP-diacylglycerol phosphotidylhydrolase
,STM4065,putative permease of the Na+:galactoside symporter family
,STM4066,putative sugar kinase
,STM4067,putative ADP-ribosylglycohydrolase
,STM4068,putative gntR family regulatory protein
,STM4069,putative periplasmic protein
,STM4070,putative cytoplasmic protein
,STM4071,putative mannose-6-phosphate isomerase
ydeV,STM4072,putative sugar kinase
ydeW,STM4073,putative transcriptional repressor
ego,STM4074,putative ABC-type sugar aldose transport system
ydeY,STM4075,putative sugar transport protein
ydeZ,STM4076,putative sugar transport protein
yneA,STM4077,putative sugar transport protein
yneB,STM4078,"putative fructose-1,6-bisphosphate aldolase"
yneC,STM4079,putative inner membrane protein
,STM4080,putative ribulose-5-phosphate 3-epimerase
tpiA,STM4081,triosephosphate isomerase
yiiQ,STM4082,putative periplasmic protein
yiiR,STM4083,putative inner membrane protein
fpr,STM4084,ferredoxin-NADP reductase
glpX,STM4085,unknown function in glycerol metabolism
glpK,STM4086,glycerol kinase
glpF,STM4087,glycerol diffusion MIP channel
yiiU,STM4088,putative cytoplasmic protein
menG,STM4089,putative methyltransferase in menaquinone biosynthesis protein
menA,STM4090,"1,4-dihydroxy-2-naphthoate octaprenyltransferase"
hslU,STM4091,ATPase component of the HslUV protease
hslV,STM4092,peptidase component of the HslUV protease
ftsN,STM4093,essential cell division protein
cytR,STM4094,GalR/LacI family transcriptional repressor
priA,STM4095,primosomal protein N'
rpmE,STM4096,50S ribosomal subunit protein L31
,STM4097,putative outer membrane lipoprotein
,STM4098,putative arylsulfate sulfotransferase
metJ,STM4099,transcriptional repressor of all met genes but metF
metB,STM4100,cystathionine gamma-synthase
metL,STM4101,aspartokinase II
,STM4102,putative inner membrane protein
,STM4103,putative cytoplasmic protein
,STM4104,putative 5'-nucleotidase
metF,STM4105,"5,10-methylenetetrahydrofolate reductase"
katG,STM4106,catalase; hydroperoxidase HPI(I)
yijF,STM4107,putative periplasmic protein
gldA,STM4108,"glycerol dehydrogenase, NAD"
talC,STM4109,putative transaldolase
ptsA,STM4110,general PTS family enzyme I
frwC,STM4112,PTS system fructose-like IIC component
frwB,STM4113,PTS system fructose-like IIB component 1
pflD,STM4114,putative pyruvate formate lyase II
pflC,STM4115,putative pyruvate formate lyase activating enzyme 2
frwD,STM4116,PTS system fructose-like IIB component 2
yijO,STM4117,putative AraC/XylS family regulator
yijP,STM4118,putative integral membrane protein
ppc,STM4119,phosphoenolpyruvate carboxylase
argE,STM4120,acetylornithine deacetylase
argC,STM4121,N-acetyl-gamma-glutamylphosphate reductase
argB,STM4122,acetylglutamate kinase
argH,STM4123,argininosuccinate lyase
oxyR,STM4125,regulatory protein sensor for oxidative stress
udhA,STM4126,soluble pyridine nucleotide transhydrogenase
yijC,STM4127,putative TetR/AcrR family transcriptional repressor
yijD,STM4128,putative inner membrane protein
trmA,STM4129,tRNA (uracil-5-)-methyltransferase
btuB,STM4130,"outer membrane receptor for transport of vitamin B12, E colicins, and bacteriophage BF23"
murI,STM4131,glutamate racemase
murB,STM4137,UDP-N-acetylenolpyruvoylglucosamine reductase
birA,STM4138,biotin-[acetylCoA carboxylase
coaA,STM4139,pantothenate kinase
,STM4141,putative cytoplasmic protein
tufB,STM4146,protein chain elongation factor EF-Tu
secE,STM4147,"preprotein translocase IISP family, membrane subunit"
nusG,STM4148,component in transcription antitermination
rplK,STM4149,50 S ribosomal subunit protein L11
rplA,STM4150,50S ribosomal subunit protein L1
rplJ,STM4151,50S ribosomal subunit protein L10
rplL,STM4152,50S ribosomal subunit protein L7/L12
rpoB,STM4153,"RNA polymerase, beta subunit"
rpoC,STM4154,"RNA polymerase, beta prime subunit"
,STM4155,putative inner membrane protein
,STM4156,putative cytoplasmic protein
,STM4157,putative cytoplasmic protein
,STM4158,putative cytoplasmic protein
thiH,STM4159,"thiamine biosynthesis protein, thiazole moiety"
thiG,STM4160,"thiamine biosynthesis protein, thiazole moiety"
,STM4161,putative protein involved in thiamine biosynthesis
thiF,STM4162,"thiamine biosynthesis protein, thiazole moiety"
thiE,STM4163,thiamine phosphate synthase
thiC,STM4164,5'-phosphoryl-5-aminoimidazole
rsd,STM4165,regulator of sigma D
yjaD,STM4166,putative NTP pyrophosphohydrolases containing a Zn-finger
hemE,STM4167,uroporphyrinogen decarboxylase
nfi,STM4168,endonuclease V
yjaG,STM4169,putative cytoplasmic protein
hupA,STM4170,DNA-binding protein HU-alpha
yjaH,STM4171,putative inner membrane protein
zraP,STM4172,zinc-resistance associated protein
hydH,STM4173,sensory kinase in two component regulatory system with HydG
hydG,STM4174,response regulator in two-component reguatory system with HydH
purD,STM4175,phosphoribosylglycinamide synthetase
purH,STM4176,phosphoribosylaminoimidazolecarboxamide formyltransferase
yjaB,STM4181,putative acetyltransferase
metA,STM4182,homoserine transsuccinylase
aceB,STM4183,malate synthase A
aceA,STM4184,isocitrate lyase
aceK,STM4185,isocitrate dehydrogenase kinase/phosphatase
,STM4186,putative cytoplasmic protein
iclR,STM4187,acetate operon transcriptional repressor
metH,STM4188,B12-dependent homocysteine-N5-methyltetrahydrofolate transmethylase
yjbB,STM4189,putative PNaS family transport protein
pepE,STM4190,(alpha)-aspartyl dipeptidase
